NOMBRE,POBLACION,SUPERFICIE,CONTINENTE
canadá,38965000,9984670,america
camerún,30014000,475442,africa
colombia,52000000,1138910,america
corea del sur,51780579,100210,asia
españa,47350096,505990,europa
argelia,44903256,2381741,africa
angola,35500000,1246700,africa
bolivia,12000000,1098581,america
bosnia y herzegovina,3280000,51197,europa
croacia,3995000,56594,europa
república democrática del congo,113000000,2344858,africa
chile,19000000,756102,america
china,1410000000,9596960,asia
armenia,3000000,29743,asia
suiza,8600000,41285,europa
uruguay,4000000,2000000,america
nueva zelanda,5000000,268021,oceania
honduras,11200000,112492,america
mexico,131946900,1964375,america
